design_id,width,length,height,slope_angle,orientation,description,category,element_id,color,print,amount
3037,2,4,1,45,normal,ROOF TILE 2X4/45°,"Bricks, Special",303726,black,,6
3037,2,4,1,45,normal,ROOF TILE 2X4/45°,"Bricks, Special",4211409,light gray,,1
3037,2,4,1,45,normal,ROOF TILE 2X4/45°,"Bricks, Special",303721,red,,62
3038,2,3,1,45,normal,ROOF TILE 2X3/45°,"Bricks, Special",303826,black,,2
3038,2,3,1,45,normal,ROOF TILE 2X3/45°,"Bricks, Special",,green,,12
3038,2,3,1,45,normal,ROOF TILE 2X3/45°,"Bricks, Special",4195081,red,,2
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303926,black,,8
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303923,blue,,12
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303923,blue,computer,1
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",4211054,dark gray,,10
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",4211054,dark gray,display,3
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303928,green,,6
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",4211410,light gray,,2
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",4211410,light gray,computer,2
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303921,red,,28
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303901,white,,3
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303901,white,display,1
3039,2,2,1,45,normal,ROOF TILE 2X2/45°,"Bricks, Special",303924,yellow,,9
3040,1,2,1,45,normal,ROOF TILE 1X2/45°,"Bricks, Special",4121966,black,,32
3040,1,2,1,45,normal,ROOF TILE 1X2/45°,"Bricks, Special",4121936,blue,,2
